SYMBOL,FULLNAME,SECTOR
DRDATSONS,Dr. Datson's Labs Limited,PHARMACEUTICALS
DYNATECH,some problem with the quote DYNATECH,COMPUTERS - SOFTWARE
EKC,Everest Kanto Cylinder Limited,PACKAGING
ESSARSHPNG,Essar Shipping Limited,SHIPPING
ESTER,Ester Industries Limited,PACKAGING
EXCELCROP,Excel Crop Care Limited,PESTICIDES/AGRO CHEMICALS
FARMAXIND,Farmax India Limited,TRADING
FCSSOFT,FCS Software Solutions Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
FMNL,Future Market Networks Limited,MISCELLANEOUS
FOURSOFT,Four Soft Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
GAMMONIND,Gammon India Limited,CONSTRUCTION & CONTRACTING - CIVIL
GARDENSILK,Garden Silk Mills Limited,TEXTILES - WEAVING
GEMINI,Gemini Communication Limited,MISCELLANEOUS
GEODESIC,Geodesic Limited,COMPUTERS - SOFTWARE
GINNIFILA,Ginni Filaments Limited,TEXTILES - SPINNING - COTTON BLENDED
GKB,GKB Ophthalmics Limited,PERSONAL CARE
GLODYNE,Glodyne Technoserve Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
GOKEX,Gokaldas Exports Limited,TEXTILES - READYMADE APPARELS
GOLDENTOBC,Golden Tobacco Limited,CIGARETTES
GREENFIRE,Green Fire Agri Commodities Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
HANUNG,Hanung Toys and Textiles Limited,MISCELLANEOUS
HINDOILEXP,Hindustan Oil Exploration Company Limited,OIL DRILLING AND EXPLORATION
HOVS,HOV Services Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
IBWSL,Indiabulls Wholesale Services Limited,MISCELLANEOUS
ICIL,Indo Count Industries Limited,TEXTILES - SPINNING - COTTON BLENDED
ICSA,ICSA (India) Limited,COMPUTERS - SOFTWARE
INDBANK,Indbank Merchant Banking Services Limited,FINANCE - GENERAL
INDOSOLAR,Indosolar Limited,MISCELLANEOUS
INDSWFTLAB,Ind-Swift Laboratories Limited,PHARMACEUTICALS
INDSWFTLTD,Ind-Swift Limited,PHARMACEUTICALS
INFODRIVE,Info-Drive Software Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
INVENTURE,Inventure Growth & Securities Limited,FINANCE - INVESTMENTS
JCTEL,JCT Electronics Limited,ELECTRICALS
JIKIND,JIK Industries Limited,TRADING
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,FINANCE - GENERAL
KGL,Karuturi Global Limited,MISCELLANEOUS
KIRIINDUS,Kiri Industries Limited,DYES & PIGMENTS
KLGSYSTEL,KLG Systel Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
KOPDRUGS,KDL Biotech Limited,PHARMACEUTICALS
KOVAI,Kovai Medical Center & Hospital Limited,HOSPITALS & MEDICAL SERVICES
LAKSHMIFIN,The Lakshmi Finance & Industrial Corporation Limited,FINANCE - GENERAL
LOTUSEYE,Lotus Eye Care Hospital Limited,HOSPITALS & MEDICAL SERVICES
MARG,Marg Limited,CONSTRUCTION & CONTRACTING - HOUSING
MEGASOFT,Megasoft Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
MELSTAR,Melstar Information Technologies Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
MERCATOR,Mercator Limited,SHIPPING
MIC,MIC Electronics Limited,TELECOMMUNICATIONS - EQUIPMENT
MICROTECH,Micro Technologies (India) Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
MIRCELECTR,MIRC Electronics Limited,CONSUMER GOODS - ELECTRONIC
MOREPENLAB,Morepen Laboratories Limited,PHARMACEUTICALS
MUKANDLTD,Mukand Limited,STEEL - MEDIUM / SMALL
MUKTAARTS,Mukta Arts Limited,MEDIA & ENTERTAINMENT
MVL,MVL Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
NEHAINT,Neha International Limited,MISCELLANEOUS
NGCT,Northgate Com Tech Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
NITCO,Nitco Limited,CERAMICS/GRANITE
NITESHEST,Nitesh Estates Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
PARABDRUGS,Parabolic Drugs Limited,PHARMACEUTICALS
PARASPETRO,Paras Petrofils Limited,TEXTILES - MANMADE
PBAINFRA,PBA Infrastructure Limited,CONSTRUCTION & CONTRACTING - CIVIL
PETRONENGG,Petron Engineering Construction Limited,ENGINEERING
PILANIINV,Pilani Investment and Industries Corporation Limited,FINANCE - GENERAL
PIRPHYTO,Piramal Phytocare Limited,PHARMACEUTICALS
PNC,Pritish Nandy Communications Limited,FINANCE - INVESTMENTS
PRADIP,Pradip Overseas Limited,TEXTILES - WEAVING
PRESSMN,Pressman Advertising Limited,MEDIA & ENTERTAINMENT
PROZONECSC,Prozone Capital Shopping Centres Limited,RETAIL
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,CHEMICALS
RAJOIL,Raj Oil Mills Limited,EDIBLE OILS & SOLVENT EXTRACTION
RAMKY,Ramky Infrastructure Limited,CONSTRUCTION & CONTRACTING - CIVIL
RBN,Reliance Broadcast Network Limited,MEDIA & ENTERTAINMENT
REFEX,Refex Refrigerants Limited,CHEMICALS
REISIXTEN,REI Six Ten Retail Limited,RETAIL
RMMIL,Resurgere Mines & Minerals Limited,MINING/MINERALS
SALSTEEL,S.A.L. Steel Limited,STEEL - MEDIUM / SMALL
SAMTEL,Samtel Color Limited,ELECTRICALS
SANGHVIFOR,Sanghvi Forging and Engineering Limited,CASTINGS & FORGINGS
SHIV-VANI,Shiv-Vani Oil & Gas Exploration Services Limited,OIL DRILLING AND EXPLORATION
SHLAKSHMI,Shri Lakshmi Cotsyn Limited,TEXTILES - PROCESSING
SHREEASHTA,Shree Ashtavinayak Cine Vision Limited,MEDIA & ENTERTAINMENT
SHYAMTEL,Shyam Telecom Limited,TELECOMMUNICATIONS - EQUIPMENT
SKUMARSYNF,S. Kumars Nationwide Limited,TEXTILES - SYNTHETIC/SILK
SMPL,Sujana Metal Products Limited,STEEL - ROLLING
SOUISPAT,Southern Ispat And Energy Limited,STEEL - ROLLING
SPLIL,SPL Industries Limited,TEXTILES - READYMADE APPARELS
SPMLINFRA,SPML Infra Limited,CONSTRUCTION & CONTRACTING - CIVIL
SRGINFOTEC,SRG Infotec (India) Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
SUBEX,Subex Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
SURYAPHARM,Surya Pharmaceutical Limited,PHARMACEUTICALS
TANLA,Tanla Solutions Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
TARAPUR,Tarapur Transformers Limited,POWER - TRANSMISSION/EQUIPMENT
TATAMETALI,Tata Metaliks Limited,STEEL - PIG IRON
TCIDEVELOP,TCI Developers Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
TCPLTD,some problem with the quote TCPLTD,CHEMICALS
TECPRO,Tecpro Systems Limited,ENGINEERING - HEAVY
TNTELE,Tamilnadu Telecommunication Limited,CABLES - TELEPHONE
TOKYOPLAST,Tokyo Plast International Limited,PLASTICS
TRICOM,Tricom India Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
TWILITAKA,Twilight Litaka Pharma Limited,PHARMACEUTICALS
UTTAMSUGAR,Uttam Sugar Mills Limited,SUGAR
V2RETAIL,V2 Retail Limited,TRADING
VMART,V-Mart Retail Limited,RETAIL
WANBURY,Wanbury Limited,PHARMACEUTICALS
WEBELSOLAR,Websol Energy System Limited,MISCELLANEOUS
WILLAMAGOR,Williamson Magor & Company Limited,FINANCE - INVESTMENTS
XCHANGING,Xchanging Solutions Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
ZENITHBIR,Zenith Birla (India) Limited,STEEL - TUBES/PIPES
ZENITHINFO,Zenith Infotech Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
JAICORPLTD,Jai Corp Limited,STEEL - GP/GC SHEETS
STAN,Standard Chartered PLC,ENGINEERING
20MICRONS,20 Microns Limited,MINING/MINERALS
3MINDIA,3M India Limited,DIVERSIFIED
A2ZMES,A2Z Maintenance & Engineering Services Limited,POWER - TRANSMISSION/EQUIPMENT
AARTIDRUGS,Aarti Drugs Limited,PHARMACEUTICALS
AARTIIND,Aarti Industries Limited,CHEMICALS
AARVEEDEN,Aarvee Denims & Exports Limited,TEXTILES - DENIM
ABAN,Aban Offshore Limited,OIL DRILLING AND EXPLORATION
ABB,ABB India Limited,PHARMACEUTICALS
ABBOTINDIA,Abbott India Limited,PHARMACEUTICALS
ABGSHIP,ABG Shipyard Limited,SHIPPING
ABIRLANUVO,Aditya Birla Nuvo Limited,TEXTILES - MANMADE
ACC,ACC Limited,TRADING
ACCELYA,Accelya Kale Solutions Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
ACE,Action Construction Equipment Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
ADANIENT,Adani Enterprises Limited,TRADING
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INFRASTRUCTURE - GENERAL
ADANIPOWER,Adani Power Limited,POWER - GENERATION/DISTRIBUTION
ADFFOODS,ADF Foods Limited,FOOD PROCESSING
ADORWELD,Ador Welding Limited,ELECTRODES/GRAPHITE
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,HOTELS
ADVANTA,Advanta Limited,MISCELLANEOUS
AEGISCHEM,Aegis Logistics Limited,TRANSPORT & LOGISTICS
AFL,Accel Frontline Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
AGCNET,AGC Networks Limited,COMPUTERS - SOFTWARE
AGRODUTCH,Agro Dutch Industries Limited,FOOD PROCESSING
AHLEAST,Asian Hotels (East) Limited,HOTELS
AHLWEST,Asian Hotels (West) Limited,HOTELS
AHMEDFORGE,Ahmednagar Forgings Limited,CASTINGS & FORGINGS
AIAENG,AIA Engineering Limited,ENGINEERING - HEAVY
AIL,Alstom India Limited,POWER - TRANSMISSION/EQUIPMENT
AJANTPHARM,Ajanta Pharma Limited,PHARMACEUTICALS
AJMERA,Ajmera Realty & Infra India Limited,STEEL - GP/GC SHEETS
AKSHOPTFBR,Aksh Optifibre Limited,CABLES - TELEPHONE
AKZOINDIA,Akzo Nobel India Limited,PAINTS/VARNISHES
ALBK,Allahabad Bank,BANKS - PUBLIC SECTOR
ALCHEM,Alchemist Limited,PESTICIDES/AGRO CHEMICALS
ALEMBICLTD,Alembic Limited,PHARMACEUTICALS
ALKALI,Alkali Metals Limited,CHEMICALS
ALKYLAMINE,Alkyl Amines Chemicals Limited,CHEMICALS
ALLCARGO,Allcargo Logistics Limited,TRANSPORT & LOGISTICS
ALOKTEXT,Alok Industries Limited,TEXTILES - WEAVING
ALPSINDUS,Alps Industries Limited,TEXTILES - GENERAL
ALSTOMT&D,Alstom T&D India Limited,POWER - TRANSMISSION/EQUIPMENT
AMARAJABAT,Amara Raja Batteries Limited,AUTO ANCILLARIES
AMARJOTHI,Amarjothi Spinning Mills Limited,TEXTILES - SPINNING - COTTON BLENDED
AMBUJACEM,Ambuja Cements Limited,CEMENT - MAJOR
AMDIND,AMD Industries Limited,PACKAGING
AMRUTANJAN,Amrutanjan Health Care Limited,PHARMACEUTICALS
AMTEKAUTO,Amtek Auto Limited,AUTO ANCILLARIES
AMTEKINDIA,Amtek India Limited,AUTO ANCILLARIES
AMTL,Advance Metering Technology Limited,POWER - GENERATION/DISTRIBUTION
ANANTRAJ,Anant Raj Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
ANDHRABANK,Andhra Bank,BANKS - PUBLIC SECTOR
ANDHRACEMT,Andhra Cements Limited,CEMENT - MAJOR
ANDHRSUGAR,The Andhra Sugars Limited,SUGAR
ANKITMETAL,Ankit Metal & Power Limited,STEEL - SPONGE IRON
ANSALAPI,Ansal Properties & Infrastructure Limited,CONSTRUCTION & CONTRACTING - HOUSING
ANSALHSG,Ansal Housing and Construction Limited,CONSTRUCTION & CONTRACTING - HOUSING
ANTGRAPHIC,Antarctica Limited,PRINTING & STATIONERY
APARINDS,Apar Industries Limited,RUBBER
APCOTEXIND,Apcotex Industries Limited,RUBBER
APLAPOLLO,APL Apollo Tubes Limited,STEEL - TUBES/PIPES
APLLTD,Alembic Pharmaceuticals Limited,PHARMACEUTICALS
APOLLOHOSP,Apollo Hospitals Enterprise Limited,HOSPITALS & MEDICAL SERVICES
APOLLOTYRE,Apollo Tyres Limited,TYRES
APPAPER,The Andhra Pradesh Paper Mills Limited,PAPER
APTECHT,Aptech Limited,COMPUTERS - SOFTWARE - TRAINING
AQUA,Aqua Logistics Limited,AQUACULTURE
ARCHIDPLY,Archidply Industries Limited,MISCELLANEOUS
ARCHIES,Archies Limited,PRINTING & STATIONERY
ARIES,Aries Agro Limited,MISCELLANEOUS
ARROWTEX,Arrow Textiles Limited,TEXTILES - WEAVING
ARSHIYA,Arshiya International Limited,TRANSPORT & LOGISTICS
ARVIND,Arvind Limited,TEXTILES - DENIM
ARVINDREM,Arvind Remedies Limited,PHARMACEUTICALS
ASAHIINDIA,Asahi India Glass Limited,GLASS & GLASS PRODUCTS
ASAHISONG,Asahi Songwon Colors Limited,DYES & PIGMENTS
ASAL,Automotive Stampings and Assemblies Limited,AUTO ANCILLARIES
ASHAPURMIN,Ashapura Minechem Limited,MINING/MINERALS
ASHIANA,Ashiana Housing Limited,CONSTRUCTION & CONTRACTING - HOUSING
ASHIMASYN,Ashima Limited,TEXTILES - SPINNING - COTTON BLENDED
ASHOKA,Ashoka Buildcon Limited,MISCELLANEOUS
ASHOKLEY,Ashok Leyland Limited,AUTO - LCVS/HCVS
ASIANHOTNR,Asian Hotels (North) Limited,HOTELS
ASIANPAINT,Asian Paints Limited,PAINTS/VARNISHES
ASIANTILES,Asian Granito India Limited,CERAMICS/GRANITE
ASSAMCO,Assam Company India Limited,PLANTATIONS - TEA & COFFEE
ASTEC,Astec LifeSciences Limited,PHARMACEUTICALS
ASTRAL,Astral Poly Technik Limited,PLASTICS
ASTRAMICRO,Astra Microwave Products Limited,TELECOMMUNICATIONS - EQUIPMENT
ASTRAZEN,AstraZeneca Pharma India Limited,PHARMACEUTICALS
ATFL,Agro Tech Foods Limited,EDIBLE OILS & SOLVENT EXTRACTION
ATLANTA,Atlanta  Limited,CONSTRUCTION & CONTRACTING - CIVIL
ATLASCYCLE,Atlas Cycles (Haryana) Limited,MISCELLANEOUS
ATUL,Atul Limited,DYES & PIGMENTS
ATULAUTO,Atul Auto Limited,AUTO - 2 & 3 WHEELERS
AURIONPRO,Aurionpro Solutions Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
AUROPHARMA,Aurobindo Pharma Limited,PHARMACEUTICALS
AUTOAXLES,Automotive Axles Limited,AUTO ANCILLARIES
AUTOIND,Autoline Industries Limited,AUTO ANCILLARIES
AVANTI,Avanti Feeds Limited,AQUACULTURE
AVTNPL,AVT Natural Products Limited,EDIBLE OILS & SOLVENT EXTRACTION
AXIS-IT&T,Axis-IT&T Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
AXISBANK,Axis Bank Limited,BANKS - PRIVATE SECTOR
AXISGOLD,Axis Mutual Fund - Axis Gold ETF,FINANCE - INVESTMENTS
BAFNAPHARM,Bafna Pharmaceuticals Limited,PHARMACEUTICALS
BAGFILMS,B.A.G Films and Media Limited,MEDIA & ENTERTAINMENT
BAJAJ-AUTO,Bajaj Auto Limited,AUTO - 2 & 3 WHEELERS
BAJAJCORP,Bajaj Corp Limited,PERSONAL CARE
BAJAJELEC,Bajaj Electricals Limited,DOMESTIC APPLIANCES
BAJAJFINSV,Bajaj Finserv Limited,FINANCE - INVESTMENTS
BAJAJHIND,Bajaj Hindusthan Limited,SUGAR
BAJAJHLDNG,Bajaj Holdings & Investment Limited,FINANCE - INVESTMENTS
BAJFINANCE,Bajaj Finance Limited,FINANCE - LEASING & HIRE PURCHASE
BALAJITELE,Balaji Telefilms Limited,MEDIA & ENTERTAINMENT
BALAMINES,Balaji Amines Limited,CHEMICALS
BALKRISIND,Balkrishna Industries Limited,TYRES
BALLARPUR,Ballarpur Industries Limited,PAPER
BALMLAWRIE,Balmer Lawrie & Company Limited,PACKAGING
BALPHARMA,Bal Pharma Limited,PHARMACEUTICALS
BALRAMCHIN,Balrampur Chini Mills Limited,SUGAR
BANCOINDIA,Banco Products (I) Limited,AUTO ANCILLARIES
BANKBARODA,Bank of Baroda,BANKS - PUBLIC SECTOR
BANKBEES,Goldman Sachs Banking Index Exchange Traded Scheme,FINANCE - INVESTMENTS
BANKINDIA,Bank of India,BANKS - PUBLIC SECTOR
BASF,BASF India Limited,CHEMICALS
BASML,Bannari Amman Spinning Mills Limited,TEXTILES - GENERAL
BATAINDIA,Bata India Limited,LEATHER PRODUCTS
BAYERCROP,Bayer Cropscience Limited,PESTICIDES/AGRO CHEMICALS
BBL,Bharat Bijlee Limited,ELECTRIC EQUIPMENT
BBTC,Bombay Burmah Trading Corporation Limited,PLANTATIONS - TEA & COFFEE
BECREL,Best & Crompton Engg. Limited,ELECTRIC EQUIPMENT
BEDMUTHA,Bedmutha Industries Limited,STEEL - MEDIUM / SMALL
BEL,Bharat Electronics Limited,CERAMICS/GRANITE
BEML,BEML Limited,INFRASTRUCTURE - GENERAL
BERGEPAINT,Berger Paints (I) Limited,PAINTS/VARNISHES
BFINVEST,BF Investment Limited,FINANCE - INVESTMENTS
BFUTILITIE,BF Utilities Limited,POWER - GENERATION/DISTRIBUTION
BGLOBAL,Bharatiya Global Infomedia Limited,MISCELLANEOUS
BGRENERGY,BGR Energy Systems Limited,INFRASTRUCTURE - GENERAL
BHAGYNAGAR,Bhagyanagar India Limited,CABLES - TELEPHONE
BHARATFORG,Bharat Forge Limited,CASTINGS & FORGINGS
BHARATGEAR,Bharat Gears Limited,AUTO ANCILLARIES
BHARATRAS,Bharat Rasayan Limited,PESTICIDES/AGRO CHEMICALS
BHARTIARTL,Bharti Airtel Limited,TELECOMMUNICATIONS - SERVICE
BHEL,Bharat Heavy Electricals Limited,INFRASTRUCTURE - GENERAL
BHUSANSTL,Bhushan Steel Limited,STEEL - CR/HR STRIPS
BIL,Bhartiya International Limited,MISCELLANEOUS
BILPOWER,Bilpower  Limited,METALS - NON FERROUS
BIMETAL,Bimetal Bearings Limited,BEARINGS
BINANIIND,Binani Industries Limited,GLASS & GLASS PRODUCTS
BIOCON,Biocon Limited,PHARMACEUTICALS
BIRLACORPN,Birla Corporation Limited,CEMENT - MAJOR
BLISSGVS,Bliss GVS Pharma Limited,MISCELLANEOUS
BLKASHYAP,B. L. Kashyap and Sons Limited,CONSTRUCTION & CONTRACTING - CIVIL
BLUEDART,Blue Dart Express Limited,COURIERS
BLUESTARCO,Blue Star Limited,CONSUMER GOODS - WHITE GOODS
BLUESTINFO,Blue Star Infotech Limited,COMPUTERS - SOFTWARE
BOMDYEING,Bombay Dyeing & Mfg Company Limited,DIVERSIFIED
BOSCHLTD,Bosch Limited,AUTO ANCILLARIES
BPCL,Bharat Petroleum Corporation Limited,REFINERIES
BPL,BPL Limited,ELECTRICALS
BRFL,Bombay Rayon Fashions Limited,TEXTILES - GENERAL
BRIGADE,Brigade Enterprises Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
BRITANNIA,Britannia Industries Limited,FOOD PROCESSING
BROOKS,Brooks Laboratories Limited,PHARMACEUTICALS
BSL,BSL Limited,TEXTILES - WEAVING
BSLGOLDETF,Birla Sun Life Mutual Fund - Birla Sun Life Gold ETF - Growth,FINANCE - INVESTMENTS
BSLIMITED,BS LIMITED,POWER - TRANSMISSION/EQUIPMENT
BSLNIFTY,Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF - Growth,FINANCE - INVESTMENTS
BURNPUR,Burnpur Cement Limited,CEMENT - MAJOR
CADILAHC,Cadila Healthcare Limited,PHARMACEUTICALS
CAIRN,Cairn India Limited,OIL DRILLING AND EXPLORATION
CANBK,Canara Bank,BANKS - PUBLIC SECTOR
CANDC,C & C Constructions Limited,CONSTRUCTION & CONTRACTING - CIVIL
CANFINHOME,Can Fin Homes Limited,FINANCE - HOUSING
CANTABIL,Cantabil Retail India Limited,RETAIL
CAPF,Capital First Limited,FINANCE - GENERAL
CARBORUNIV,Carborundum Universal Limited,ABRASIVES
CAREERP,Career Point Limited,COMPUTERS - SOFTWARE - TRAINING
CARERATING,Credit Analysis And Research Limited,MISCELLANEOUS
CASTROL,Castrol India Limited,LUBRICANTS
CCCL,Consolidated Construction Consortium Limited,CONSTRUCTION & CONTRACTING - CIVIL
CCL,CCL Products (India) Limited,PLANTATIONS - TEA & COFFEE
CEATLTD,CEAT Limited,TYRES
CEBBCO,Commercial Engineers & Body Builders Co Limited,ENGINEERING
CELEBRITY,Celebrity Fashions Limited,TEXTILES - READYMADE APPARELS
CELESTIAL,Celestial Biolabs Limited,PHARMACEUTICALS
CENTENKA,Century Enka Limited,TEXTILES - MANMADE
CENTRALBK,Central Bank of India,BANKS - PUBLIC SECTOR
CENTUM,Centum Electronics Limited,ELECTRICALS
CENTURYPLY,Century Plyboards (India) Limited,MISCELLANEOUS
CENTURYTEX,Century Textiles & Industries Limited,DIVERSIFIED
CERA,Cera Sanitaryware Limited,CERAMICS/GRANITE
CESC,CESC Limited,POWER - GENERATION/DISTRIBUTION
CGCL,Capri Global Capital Limited,some problem with symbol: CGCL
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,FERTILISERS
CHEMFALKAL,Chemfab Alkalis Limited,CHEMICALS
CHENNPETRO,Chennai Petroleum Corporation Limited,REFINERIES
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,FINANCE - LEASING & HIRE PURCHASE
CILNOVA,CIL Nova Petrochemicals Limited,TEXTILES - MANMADE
CIMMCO,Cimmco Limited,DIVERSIFIED
CINELINE,Cineline India Limited,MEDIA & ENTERTAINMENT
CINEMAXIN,Cinemax India Limited,MEDIA & ENTERTAINMENT
CIPLA,Cipla Limited,PHARMACEUTICALS
CLNINDIA,Clariant Chemicals (India) Limited,DYES & PIGMENTS
CMAHENDRA,C. Mahendra Exports Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
CMC,CMC Limited,COMPUTERS - HARDWARE
COALINDIA,Coal India Limited,MINING/MINERALS
COLPAL,Colgate Palmolive (India) Limited,PERSONAL CARE
COMPUAGE,Compuage Infocom Limited,COMPUTERS - HARDWARE
COMPUSOFT,Compucom Software Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
CONCOR,Container Corporation of India Limited,TRANSPORT & LOGISTICS
CONSOFINVT,Consolidated Finvest & Holdings Limited,FINANCE - GENERAL
CORDSCABLE,Cords Cable Industries Limited,CABLES - POWER/OTHERS
COREEDUTEC,CORE Education & Technologies Limited,COMPUTERS - SOFTWARE - TRAINING
COROMANDEL,Coromandel International Limited,MISCELLANEOUS
CORPBANK,Corporation Bank,BANKS - PUBLIC SECTOR
COSMOFILMS,Cosmo Films Limited,PLASTICS
COX&KINGS,Cox & Kings Limited,MISCELLANEOUS
CRESTANI,Crest Animation Studios Limited,MEDIA & ENTERTAINMENT
CRISIL,CRISIL Limited,MISCELLANEOUS
CROMPGREAV,Crompton  Greaves Limited,ELECTRIC EQUIPMENT
CTE,Cambridge Technology Enterprises Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
CUB,City Union Bank Limited,METALS - NON FERROUS
CUMMINSIND,Cummins India Limited,ENGINES
CYBERTECH,Cybertech Systems And Software Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
DAAWAT,LT Foods Limited,FOOD PROCESSING
DABUR,Dabur India Limited,PERSONAL CARE
DALMIABHA,Dalmia Bharat Limited,CEMENT - MAJOR
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,SUGAR
DATAMATICS,Datamatics Global Services Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
DBCORP,D.B.Corp Limited,MEDIA & ENTERTAINMENT
DBREALTY,D B Realty Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
DBSTOCKBRO,DB (International) Stock Brokers Limited,FINANCE - GENERAL
DCB,Development Credit Bank Limited,BANKS - PRIVATE SECTOR
DCM,DCM  Limited,FINANCE - LEASING & HIRE PURCHASE
DCMSRMCONS,DCM Shriram Consolidated Limited,DIVERSIFIED
DCW,DCW Limited,PETROCHEMICALS
DECCANCE,Deccan Cements Limited,CEMENT - MINI
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,FERTILISERS
DEEPAKNTR,Deepak Nitrite Limited,CHEMICALS
DEEPIND,Deep Industries Limited,OIL DRILLING AND EXPLORATION
DELTACORP,Delta Corp Limited,FINANCE - GENERAL
DEN,Den Networks Limited,PAPER
DENABANK,Dena Bank,BANKS - PUBLIC SECTOR
DHAMPURSUG,Dhampur Sugar Mills Limited,SUGAR
DHANBANK,Dhanlaxmi Bank Limited,BANKS - PRIVATE SECTOR
DHANUKA,Dhanuka Agritech Limited,PESTICIDES/AGRO CHEMICALS
DHARSUGAR,Dharani Sugars & Chemicals Limited,SUGAR
DHFL,Dewan Housing Finance Corporation Limited,FINANCE - HOUSING
DIAPOWER,Diamond Power Infra Ltd,CABLES - POWER/OTHERS
DICIND,DIC India Limited,PRINTING & STATIONERY
DIGJAM,Digjam Limited,TEXTILES - WOOLLEN/WORSTED
DISHMAN,Dishman Pharmaceuticals and Chemicals Limited,PHARMACEUTICALS
DISHTV,Dish TV India Limited,MEDIA & ENTERTAINMENT
DIVISLAB,Divi's Laboratories Limited,PHARMACEUTICALS
DLF,DLF Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
DLINKINDIA,D-Link (India) Limited,MISCELLANEOUS
DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited,OIL DRILLING AND EXPLORATION
DPSCLTD,DPSC Limited,POWER - GENERATION/DISTRIBUTION
